numero_emenda;exercicio;subacao;unidade_gestora;credor;valor_empenhado;obs
1138;2024;"ELYX - EMENDA DERIVADA 50128/2024";"FUNDO ESTADUAL DE SAÚDE";"08680752000152 - FUNDO MUNICIPAL DE SAUDE DE MARAIAL";294000;"SOF  685/2024 - NUGEP, N º EMENDA 1138, NOTA TÉCNICA 106, AQUISIÇÃO DE MEDICAMENTOS E INSUMOS DESTINADOS AOS ATENDIMENTOS DOS PACIENTES,"
1163;2024;"ELP4 - EMENDA DERIVADA 20093/2024";"FUNDO ESTADUAL DE SAÚDE";"10988301000129 - INSTITUTO MATERNO INFANTIL PROFESSOR FERNANDO FIGUEIRA - IMIP";200000;"SOF 239/24 - NUGEP. NOTA TÉCNICA - SES - GERÊNCIA DA POLÍTICA DE ASSISTÊNCIA FARMACÊUTICA - Nº 14/2024. EMENDA PARLAMENTAR Nº 1163 OBJETIVANDO A MELHORIA NA OFERTA DE ATENDIMENTO NOS SERVIÇOS HOSPITALARES E AMBULATORIAIS DO IMIP."
1166;2024;"EM3O - EMENDA DERIVADA 60045/2024";"FUNDO ESTADUAL DE SAÚDE";"07421280000150 - INSTITUTO DO FIGADO E TRANSPLANTE DE PERNAMBUCO - IFP";60000;"SOF  742/2024   NUGEP/SEAF. NOTA TÉCNICA Nº 108/2024. EMENDA PARLAMENTAR Nº 1166 REFERENTE A AQUISIÇÃO DE 02 EQUIPAMENTOS DE VÍDEOENDOSCOPIA E 01 EQUIPAMENTO DE PHMETRIA."
1200;2024;"ELT4 - EMENDA DERIVADA 30008/2024";"FUNDO ESTADUAL DE SAÚDE";"10572048002686 - SECRETARIA DE SAUDE";200000;"SOF - 495/2024 - NUGEP. NOTA TÉCNICA  SGAR  Nº 53/2024. EMENDA PARLAMENTAR Nº 1200 REFERENTE A AQUISIÇÃO DE EQUIPAMENTOS MÉDICO HOSPITALARES (SISTEMA DE DIGITALIZAÇÃO DE IMAGENS). EMPENHO GERADO SEM VALIDAÇÃO NO SIAFEM."
1212;2024;"ELVG - EMENDA DERIVADA 40011/2024";"FUNDO ESTADUAL DE SAÚDE";"24262537000198 - INSTITUTO MEMORIAL DO AGRESTE - IMA";105322.72;"SOF  587/2024 - SES - NUGEP. NOTA TÉCNICA - SES - DIRETORIA GERAL DE ASSISTÊNCIA INTEGRAL À SAÚDE - LINHAS DE CUIDADOS - Nº 124/2024. EMENDA PARLAMENTAR Nº 1212 REF. A AQUISIÇÃOD E EQUIPAMENTOS PARA O HOSPITAL MEMORIAL DE PERNAMBUCO - HMP."
1252;2024;"ELSH - EMENDA DERIVADA 30045/2024";"FUNDO ESTADUAL DE SAÚDE";"10349041000141 - MUNICIPIO DE TABIRA";100000;"SOF  714/2024  NUGEP. NOTA TÉCNICA  GEPAF Nº 119/2024. EMENDA PARLAMENTAR Nº 1252 REFERENTE A AQUISIÇÃO DE MEDICAMENTOS E INSUMOS."
1256;2024;"ELQ5 - EMENDA DERIVADA 20125/2024";"FUNDO ESTADUAL DE SAÚDE";"10635804000110 - FUNDO MUNICIPAL DE SAUDE DE JUCATI";400000;"SOF  700/2024 - NUGEP, NOTA TÉCNICA 111, Nº EMENDA 1256, AQUISIÇÃO DE MEDICAMENTOS E INSUMOS FARMACEUTICOS"
1258;2024;"ELXR - EMENDA DERIVADA 40097/2024";"FUNDO ESTADUAL DE SAÚDE";"02324776000192 - FUNDO MUNICIPAL DE SAUDE BELEM DE SAO FRANCISCO";100000;"SOF  545/2024 - NUGEP, Nº EMENDA 1258, NOTA TÉCNICA 122, AQUISIÇÃO DE MEDICAMENTOS E INSUMOS, VISANDO GARANTIR SERVIÇOS E PROCEDIMENTOS DE MEDIA E ALTA COMPLEXIDADE AMBULATORIAL HOSPITALAR"
1259;2024;"EM6Z - EMENDA DERIVADA 90043/2024";"FUNDO ESTADUAL DE SAÚDE";"07868234000102 - FUNDO MUNICIPAL DE SAUDE DE PAUDALHO";100000;"SOF  829/2024 - SES - NUGEP. NOTA TÉCNICA - SES - GERÊNCIA DA POLÍTICA DE ASSISTÊNCIA FARMACÊUTICA - Nº 1 (60971196). EMENDA PARLAMENTAR Nº 1259 REFERENTE A AQUISIÇÃO DE MEDICAMENTOS PARA AS UNIDADES DE SAÚDE DO MUNICÍPIO DE PAUDALHO."
1260;2024;"ELTT - EMENDA DERIVADA 40000/2024";"FUNDO ESTADUAL DE SAÚDE";"10583920001024 - HOSPITAL DO TRICENTENARIO";130900;"CONTRATO DE GESTÃO Nº 002/17. NOTA TÉCNICA 58505999. SOF  23/2024 - SES - DGMCG. EMENDA PARLAMENTAR Nº 1260 REFERENTE A AQUISIÇÃO DE AMBULÂNCIA PARA O HOSPITAL REGIONAL EMÍLIA CÂMARA."
