numero_emenda;exercicio;processo_sei;valor_empenhado;credor
664;2023;2300000029.004435/2023-88;198300;"11319452000157 - FUNDO MUNICIPAL DE SAUDE CUMARU"
681;2023;2300000029.002043/2023-84;91880.4;"00286731000145 - CIRCULO DO CORACAO DE PERNAMBUCO"
700;2023;2300000029.005681/2023-57;299208.98;"38144672000143 - INSTITUTO CRIACAO"
757;2023;2300000029.006381/2023-95;250000;"11293112000102 - FUNDO MUNICIPAL DE SAUDE DE TUPARETAMA"
781;2023;2300000029.002314/2022-11;0;"41229113000140 - GESTOS SOROPOSITIVIDADE COMUNICACAO E GENERO"
798;2023;2300000029.002051/2022-40;0;"11844178000135 - FUNDO MUNICIPAL DE SAUDE DE TACAIMBO"
800;2023;2300000029.001032/2022-04;0;"11419791000105 - FUNDO MUNICIPAL DE SAUDE DE ALAGOINHA"
801;2023;2300000029.001978/2022-62;0;"10248060000181 - ABRIGO SAO VICENTE DE PAULO"
2300000029;2023;2300000029.000393/2022-25;0;"05439635000456 - ANTIBIOTICOS DO BRASIL LTDA"
012;2024;2300000029.001037/2024-91;100000;"10583920000800 - HOSPITAL DO TRICENTENARIO"
113;2024;2300000029.001654/2023-13;100000;"07621798000138 - INSTITUTO OFTALMOLOGICO CARLOS CARVALHO"
174;2024;2300000029.006593/2023-72;200000;"12397007000178 - FUNDO MUNICIPAL DE CHA DE ALEGRIA"
240;2024;2300000029.005619/2023-65;105000;"10869782000153 - IRMANDADE DA SANTA CASA DE MISERICORDIA DO RECIFE"
305;2024;2300000029.005683/2023-46;299060;"11691937000177 - CENTRO DE CAPACITACAO E FORMACAO PUBLICA - CEFOP"
333;2024;2300000029.003646/2023-01;99893.33;"10572048002686 - SECRETARIA DE SAUDE"
335;2024;2300000029.005944/2023-28;129360;"69902112000134 - FUNDO MUNICIPAL DE SAUDE DE VERTENTE DO LERIO"
361;2024;2300000029.004051/2023-65;200000;"11292383000135 - FUNDO MUNICIPAL DE SAUDE DE SOLIDAO"
372;2024;2300000029.005615/2023-87;600000;"02324776000192 - FUNDO MUNICIPAL DE SAUDE BELEM DE SAO FRANCISCO"
